0, 131, jmbmrbhpf, 35045911907119, 5298, 628
1, 251, gen, 27131379301533, 273, 870
2, 141, tju, 85147316239123, 2381, 159
3, 331, jfwcci, 02989756620411, 5624, 162
4, 461, wgn, 36345130715957, 5023, 732
5, 271, rrs, 35886403823236, 2223, 547
6, 501, l, 51489586193809, 4401, 414
7, 301, wgf, 52764141470867, 6458, 269
8, 31, pf, 03738737788557, 643, 802
9, 11, pa, 76875308404179, 6097, 917
10, 171, am, 68546343088842, 3717, 515
11, 221, ioff, 34159788205442, 2818, 265
12, 161, bvrh, 09334058458992, 6064, 992
13, 51, omf, 24681151364470, 683, 798
14, 211, nlvi, 27923624384673, 261, 835
15, 391, gfwwgis, 96396422014672, 105, 547
16, 291, kdzhbx, 37841605888495, 3134, 68
17, 261, qjccbc, 28366267033537, 6869, 675
18, 421, esxxylp, 66920197384267, 6933, 593
19, 501, ipyioy, 00926122193003, 4382, 420
20, 491, h, 43447495258154, 4352, 660
21, 181, cmmcygh, 74953645554337, 5704, 216
22, 361, jnvu, 80732173760898, 4618, 669
23, 301, ajuo, 20817058331205, 1114, 564
24, 61, dxtijrqxj, 84864759159252, 5646, 159
25, 521, flzt, 87708349770095, 3315, 311
26, 471, fgskj, 97038869952830, 3454, 332
27, 571, lejmwu, 87253573765859, 3894, 915
28, 61, hlrhum, 66577649205409, 2646, 69
29, 321, tpzlvo, 57196544457458, 3054, 613
30, 581, ovpxb, 95563419587877, 1361, 394
31, 351, wijvfb, 99751158988013, 2795, 398
32, 331, gzjwsdj, 63076629413357, 2623, 693
33, 91, oh, 78698463219329, 4806, 781
34, 01, mx, 02537043530141, 4547, 72
35, 101, zmb, 62940187964845, 4660, 108
36, 141, jjmuis, 52369116047161, 756, 628
37, 221, hx, 98144055024635, 665, 296
38, 501, vh, 00741566999666, 5423, 33
39, 101, onmg, 23541819973677, 111, 666
40, 71, puwbykq, 72447494279686, 6673, 180
41, 421, pc, 56017887399616, 2109, 219
42, 61, sk, 02224850597217, 3406, 762
43, 531, tb, 67260231949561, 6100, 445
44, 431, oixdk, 82269206503393, 524, 16
45, 201, hnnfh, 44027719590753, 6310, 94
46, 01, de, 55278652990496, 1987, 119
47, 511, by, 82443839570216, 5754, 637
48, 411, wzl, 60097295383881, 3284, 363
49, 131, swy, 49523501260963, 763, 712
50, 561, sp, 76574204405724, 1940, 629
51, 421, cagsbf, 88059735769873, 6876, 30
52, 391, y, 14193789394108, 4819, 55
53, 251, bqwa, 66855743272490, 31, 362
54, 161, nvol, 17197431683987, 6777, 43
55, 401, gtwj, 60462577863552, 4542, 402
56, 521, khls, 29104951281438, 6538, 948
57, 71, laepkj, 77537341524609, 2439, 731
58, 161, bgge, 46676152742846, 4337, 836
59, 11, dfhs, 00518652911821, 3679, 132
60, 361, bafkyk, 36687027958828, 1812, 814
61, 401, el, 80330604844896, 5114, 921
62, 351, p, 87460884649608, 5636, 133
63, 241, vqxciz, 56325029217086, 236, 687
64, 231, bfhzt, 97290044942696, 257, 252
65, 381, gedc, 73678043128603, 3043, 105
66, 541, wt, 88841404250915, 6844, 853
67, 241, pzplt, 89235778877557, 3299, 95
68, 21, imjgusqbstp, 07524916131213, 2692, 388
69, 391, kw, 51898504280804, 4962, 110
70, 391, wcwlr, 51033000746751, 3378, 393
71, 381, oect, 78129284361084, 2293, 17
72, 381, dcf, 09002851417483, 4882, 932
73, 291, bdbau, 29438784749324, 1257, 915
74, 351, jbwjprhs, 67418845735934, 692, 870
75, 61, plfn, 69186187324405, 721, 499
76, 131, pkga, 46663152749929, 5488, 111
77, 281, qprpemge, 33819472680021, 2642, 514
78, 511, whwjln, 21517101195982, 5104, 836
79, 51, fmwoin, 80304683975472, 4929, 818
80, 311, psas, 96808017781923, 3462, 862
81, 581, kct, 72766078413113, 2919, 248
82, 571, jajc, 85232681603614, 626, 691
83, 381, tru, 10884718793298, 203, 848
84, 111, gbpvxwyy, 36454494410065, 3167, 973
85, 211, tw, 75116197144281, 2971, 537
86, 171, ovnej, 68276844772578, 6499, 434
87, 331, kj, 68336220526668, 5049, 609
88, 91, jve, 39651082014694, 3575, 557
89, 311, va, 25674391387546, 1380, 261
90, 21, e, 49282469006347, 4753, 26
91, 101, htazp, 94411837173938, 1335, 966
92, 211, qthmfrmx, 88841349194720, 4506, 149
93, 351, p, 74904327263815, 2291, 599
94, 421, dtvb, 47533792011744, 3410, 994
95, 591, csqwlmaav, 90587194561113, 5420, 575
96, 211, yellc, 68603542863304, 6135, 759
97, 141, balfc, 64136847890491, 5305, 399
98, 271, e, 72298494223321, 3585, 301
99, 481, epgt, 01923958176135, 4605, 685
100, 491, fa, 40150627672239, 2930, 892
101, 161, tmr, 07777762751120, 459, 119
102, 431, pydydxt, 17707832701637, 1499, 213
103, 381, lduxgg, 49115440162720, 5975, 835
104, 471, z, 54489093877261, 5798, 632
105, 441, s, 56484058026009, 303, 811
106, 591, knb, 58660844944644, 578, 730
107, 331, grxcdux, 03361421193211, 3536, 110
108, 231, sm, 14878149149477, 273, 726
109, 241, ablpc, 70682244094235, 2619, 524
110, 101, dpoq, 54314926632725, 5745, 209
111, 431, re, 18227414600706, 85, 672
112, 521, igfc, 52369777713324, 5611, 976
113, 81, fnxfyvhl, 41387704471016, 1793, 710
114, 411, sodc, 02486909812067, 6177, 434
115, 251, ttq, 51643522982921, 6106, 48
116, 541, yebusi, 04670149358241, 3863, 879
117, 251, caecn, 86912974520555, 1782, 253
118, 411, tjl, 34917875891676, 3231, 346
119, 591, zscq, 56763986294451, 6172, 533
120, 261, r, 23280941517957, 2970, 50
121, 431, q, 79335779785142, 399, 41
122, 01, xjl, 25346545300959, 5758, 820
123, 491, mdzgnxly, 58471135257052, 6495, 887
124, 151, wgm, 22922900186078, 5219, 989
125, 341, uyukrxa, 93522299328331, 5857, 308
126, 291, eug, 43210747823384, 4623, 662
127, 31, nwz, 47374149564224, 2237, 383
128, 321, tqnqxsz, 46028146111781, 1526, 641
129, 371, kqcdyiw, 99163219005610, 6278, 372
130, 191, mgcrw, 97765821802903, 5193, 832
131, 251, dl, 73942235860057, 6438, 600
132, 51, aiq, 78881735017296, 4715, 222
133, 81, cwtpclwv, 32404052795962, 4259, 932
134, 71, h, 72127269852460, 6982, 422
135, 141, vbrzvfykj, 82232043616807, 5150, 281
136, 181, yb, 14728085709979, 2707, 355
137, 351, vloa, 52139800900945, 1153, 531
138, 01, xtao, 73470504197077, 4342, 383
139, 531, rr, 73397594193149, 3211, 750
140, 121, smrhmt, 46795845630005, 1763, 946
141, 151, sqodhh, 05198194276021, 6722, 10
142, 501, gf, 85567663399878, 4589, 683
143, 421, vvsyqy, 02716506538820, 1886, 49
144, 251, rnps, 00939558849980, 1818, 815
145, 491, zay, 45342888187414, 1192, 904
146, 561, pqhvq, 12810935232689, 259, 998
147, 521, rxlo, 87645362135592, 3871, 139
148, 381, ovtar, 62084234210418, 5922, 277
149, 151, tgphobfxzc, 79084084013274, 6387, 57
150, 521, wurte, 39581295441273, 3677, 964
151, 371, scp, 31755007230770, 4127, 226
